Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
M.BROZOVIC,77,2020-2021,INTER,1,BENEVENTO,INTER,28',0,0,0,0,0,0,0,43,0,0,35,92,19,1,0,0,0
M.BROZOVIC,77,2020-2021,INTER,2,INTER,FIORENTINA,76',0,0,0,0,0,1,0,72,0,1,57,95,42,4,0,0,0
M.BROZOVIC,77,2020-2021,INTER,3,LAZIO,INTER,21',0,0,1,1,0,1,0,26,0,0,19,86,16,0,0,0,0
M.BROZOVIC,77,2020-2021,INTER,4,INTER,MILAN,69',0,0,0,0,0,0,0,54,0,0,37,86,20,5,1,0,0
M.BROZOVIC,77,2020-2021,INTER,5,GENOA,INTER,93',0,0,1,1,0,0,1,122,0,0,92,83,58,4,0,0,0
M.BROZOVIC,77,2020-2021,INTER,6,INTER,PARMA,37',1,0,3,1,1,1,0,48,0,1,32,94,29,1,0,0,0
M.BROZOVIC,77,2020-2021,INTER,7,ATALANTA,INTER,94',0,0,0,0,0,0,1,82,0,0,64,90,33,0,0,0,0
M.BROZOVIC,77,2020-2021,INTER,10,INTER,BOLOGNA,94',0,0,1,0,1,0,3,87,1,1,70,91,43,4,0,0,0
M.BROZOVIC,77,2020-2021,INTER,11,CAGLIARI,INTER,97',0,0,0,0,0,0,0,93,0,0,77,94,37,3,0,0,0
M.BROZOVIC,77,2020-2021,INTER,12,INTER,NAPOLI,69',0,0,0,0,0,0,0,64,0,0,47,89,28,4,1,0,0
M.BROZOVIC,77,2020-2021,INTER,13,INTER,SPEZIA,68',0,0,2,1,0,0,0,60,0,0,42,82,14,1,1,0,0
M.BROZOVIC,77,2020-2021,INTER,14,HELLAS VERONA,INTER,96',0,0,0,0,0,0,1,97,1,1,60,86,33,9,1,0,0
M.BROZOVIC,77,2020-2021,INTER,15,INTER,CROTONE,91',0,0,1,0,0,0,0,83,1,0,56,86,28,6,0,0,0
M.BROZOVIC,77,2020-2021,INTER,16,SAMPDORIA,INTER,99',0,0,0,0,0,0,0,66,1,2,43,88,29,6,0,0,0
M.BROZOVIC,77,2020-2021,INTER,17,ROMA,INTER,98',0,0,1,0,1,0,1,90,2,0,65,89,30,1,0,0,0
M.BROZOVIC,77,2020-2021,INTER,18,INTER,JUVENTUS,97',0,0,4,1,1,0,0,93,0,0,65,92,24,8,0,0,0
M.BROZOVIC,77,2020-2021,INTER,19,UDINESE,INTER,96',0,0,1,0,1,0,1,94,0,0,73,92,56,6,0,0,0
