Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
A.BARAK,7,2020-2021,HELLAS VERONA,1,HELLAS VERONA,ROMA,27',0,0,0,0,0,0,0,19,0,0,6,67,5,3,0,0,0
A.BARAK,7,2020-2021,HELLAS VERONA,2,HELLAS VERONA,UDINESE,96',0,0,2,0,1,0,1,50,0,2,28,82,20,11,0,0,0
A.BARAK,7,2020-2021,HELLAS VERONA,3,PARMA,HELLAS VERONA,60',0,0,1,1,0,0,0,22,0,0,16,84,15,1,0,0,0
A.BARAK,7,2020-2021,HELLAS VERONA,5,JUVENTUS,HELLAS VERONA,34',0,0,0,0,0,0,1,7,0,0,4,100,2,1,0,0,0
A.BARAK,7,2020-2021,HELLAS VERONA,6,HELLAS VERONA,BENEVENTO,92',2,0,2,2,0,2,0,34,0,0,21,81,14,0,1,0,0
A.BARAK,7,2020-2021,HELLAS VERONA,7,MILAN,HELLAS VERONA,96',1,0,1,1,0,1,0,38,0,1,19,83,13,8,0,0,0
A.BARAK,7,2020-2021,HELLAS VERONA,8,HELLAS VERONA,SASSUOLO,95',0,0,1,0,0,0,2,55,0,0,34,83,25,1,0,0,0
A.BARAK,7,2020-2021,HELLAS VERONA,9,ATALANTA,HELLAS VERONA,95',0,0,0,0,0,0,2,40,0,0,26,74,10,2,0,0,0
A.BARAK,7,2020-2021,HELLAS VERONA,10,HELLAS VERONA,CAGLIARI,93',0,0,1,0,1,0,1,40,0,0,21,78,13,4,0,0,0
A.BARAK,7,2020-2021,HELLAS VERONA,11,LAZIO,HELLAS VERONA,98',0,0,0,0,0,0,1,66,0,0,40,78,17,4,0,0,0
A.BARAK,7,2020-2021,HELLAS VERONA,12,HELLAS VERONA,SAMPDORIA,96',0,0,2,1,1,1,1,77,0,0,46,78,19,4,0,0,1
A.BARAK,7,2020-2021,HELLAS VERONA,15,SPEZIA,HELLAS VERONA,94',0,0,2,1,1,1,2,40,0,1,23,82,12,2,0,0,0
