Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
P.OBIANG,14,2020-2021,SASSUOLO,1,SASSUOLO,CAGLIARI,66',0,0,1,1,0,0,2,50,0,0,38,90,16,3,0,0,0
P.OBIANG,14,2020-2021,SASSUOLO,2,SPEZIA,SASSUOLO,52',0,0,0,0,0,0,0,38,0,0,30,86,11,2,0,0,0
P.OBIANG,14,2020-2021,SASSUOLO,3,SASSUOLO,CROTONE,42',0,0,0,0,0,0,0,24,0,0,14,82,8,3,0,0,0
P.OBIANG,14,2020-2021,SASSUOLO,4,BOLOGNA,SASSUOLO,17',0,0,1,1,0,0,0,5,0,0,2,67,0,0,0,0,0
P.OBIANG,14,2020-2021,SASSUOLO,6,NAPOLI,SASSUOLO,18',0,0,0,0,0,0,1,13,0,0,6,75,5,1,0,0,0
P.OBIANG,14,2020-2021,SASSUOLO,7,SASSUOLO,UDINESE,2',0,0,0,0,0,0,0,1,0,0,1,100,0,0,0,0,0
P.OBIANG,14,2020-2021,SASSUOLO,8,HELLAS VERONA,SASSUOLO,13',0,0,0,0,0,0,0,7,0,0,2,40,1,2,0,0,0
P.OBIANG,14,2020-2021,SASSUOLO,9,SASSUOLO,INTER,34',0,0,0,0,0,0,0,26,0,0,24,92,15,0,0,0,0
P.OBIANG,14,2020-2021,SASSUOLO,10,ROMA,SASSUOLO,87',0,0,0,0,0,0,0,47,0,0,37,95,28,5,1,0,0
P.OBIANG,14,2020-2021,SASSUOLO,12,FIORENTINA,SASSUOLO,81',0,0,1,1,0,1,0,48,0,0,36,88,17,3,0,0,0
P.OBIANG,14,2020-2021,SASSUOLO,13,SASSUOLO,MILAN,11',0,0,0,0,0,0,0,5,0,0,3,100,2,2,0,0,0
P.OBIANG,14,2020-2021,SASSUOLO,14,SAMPDORIA,SASSUOLO,36',0,0,0,0,0,0,0,22,0,0,14,82,6,3,0,0,0
P.OBIANG,14,2020-2021,SASSUOLO,15,ATALANTA,SASSUOLO,37',0,0,0,0,0,0,0,18,0,0,15,88,7,0,0,0,0
P.OBIANG,14,2020-2021,SASSUOLO,16,SASSUOLO,GENOA,20',0,0,1,0,1,0,0,16,0,0,10,100,5,5,0,0,0
P.OBIANG,14,2020-2021,SASSUOLO,17,JUVENTUS,SASSUOLO,47',0,0,1,0,0,0,1,39,0,0,33,97,15,2,0,0,1
P.OBIANG,14,2020-2021,SASSUOLO,19,LAZIO,SASSUOLO,77',0,0,0,0,0,0,1,42,0,0,26,87,12,4,1,0,0
