Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
FABIAN RUIZ,8,2020-2021,NAPOLI,1,PARMA,NAPOLI,83',0,0,4,0,1,0,0,68,0,0,45,85,28,4,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,2,NAPOLI,GENOA,93',0,0,2,1,0,0,2,107,0,0,85,92,43,3,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,4,NAPOLI,ATALANTA,84',0,0,0,0,0,0,3,78,1,0,60,92,23,3,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,5,BENEVENTO,NAPOLI,88',0,0,2,0,0,1,0,92,0,0,74,93,46,3,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,6,NAPOLI,SASSUOLO,99',0,0,1,1,0,1,1,86,0,0,71,93,41,4,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,7,BOLOGNA,NAPOLI,95',0,0,0,0,0,0,0,85,0,1,69,95,50,3,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,8,NAPOLI,MILAN,93',0,0,2,0,1,0,2,106,0,0,77,92,54,5,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,9,NAPOLI,ROMA,92',1,0,1,1,0,1,1,64,0,0,40,83,19,5,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,11,NAPOLI,SAMPDORIA,46',0,0,0,0,0,0,0,46,0,0,37,95,20,2,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,12,INTER,NAPOLI,21',0,0,0,0,0,0,0,20,0,0,16,84,11,1,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,13,LAZIO,NAPOLI,95',0,0,1,1,0,1,0,57,0,0,43,88,26,2,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,14,NAPOLI,TORINO,25',0,0,0,0,0,0,0,30,0,0,25,96,18,0,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,15,CAGLIARI,NAPOLI,91',0,0,4,1,1,1,1,99,0,1,80,96,54,3,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,16,NAPOLI,SPEZIA,85',0,0,1,1,0,1,1,79,0,0,61,91,27,1,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,17,UDINESE,NAPOLI,70',0,0,1,0,0,0,0,62,0,0,48,91,32,3,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,22,NAPOLI,JUVENTUS,32',0,0,0,0,0,0,0,27,0,0,16,94,11,1,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,23,ATALANTA,NAPOLI,96',0,0,0,0,0,0,1,95,0,1,68,83,26,3,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,24,NAPOLI,BENEVENTO,94',0,0,4,1,1,0,0,87,0,1,66,92,40,1,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,25,SASSUOLO,NAPOLI,97',0,0,4,1,3,2,0,67,0,0,47,89,29,3,0,0,0
FABIAN RUIZ,8,2020-2021,NAPOLI,26,NAPOLI,BOLOGNA,96',0,0,0,0,0,0,0,63,0,0,43,90,22,5,0,0,0
