Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,1,JUVENTUS,SAMPDORIA,47',0,0,4,1,1,1,1,16,0,0,6,67,4,0,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,2,SAMPDORIA,BENEVENTO,84',1,0,1,1,0,1,0,17,0,0,6,60,3,2,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,3,FIORENTINA,SAMPDORIA,96',1,0,4,2,1,1,2,27,0,1,13,76,9,2,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,4,SAMPDORIA,LAZIO,79',1,0,3,2,1,2,1,18,0,0,10,91,7,1,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,5,ATALANTA,SAMPDORIA,67',1,0,2,2,0,2,2,23,0,0,7,50,0,2,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,6,SAMPDORIA,GENOA,66',0,0,0,0,0,0,0,15,0,0,7,64,4,2,1,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,7,CAGLIARI,SAMPDORIA,81',0,0,1,0,1,0,0,21,0,0,11,85,6,1,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,8,SAMPDORIA,BOLOGNA,96',0,0,4,0,0,3,0,21,0,0,10,77,7,2,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,9,TORINO,SAMPDORIA,84',1,0,3,1,0,1,2,31,0,0,12,57,9,2,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,10,SAMPDORIA,MILAN,97',0,0,1,0,1,0,2,30,0,0,10,63,4,1,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,11,NAPOLI,SAMPDORIA,96',0,0,1,0,1,0,1,37,0,0,15,75,3,5,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,13,SAMPDORIA,CROTONE,35',1,0,1,1,0,1,3,16,0,0,5,71,4,2,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,14,SAMPDORIA,SASSUOLO,97',1,0,6,2,3,2,1,47,0,0,20,77,9,3,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,15,ROMA,SAMPDORIA,80',0,0,2,0,2,0,2,24,0,0,10,71,6,1,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,17,SPEZIA,SAMPDORIA,17',0,0,0,0,0,0,0,4,0,0,2,67,2,0,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,18,SAMPDORIA,UDINESE,62',0,0,1,1,0,0,0,15,0,0,8,89,6,0,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,19,PARMA,SAMPDORIA,70',0,0,1,0,0,0,0,29,0,0,8,62,6,4,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,20,SAMPDORIA,JUVENTUS,70',0,0,4,2,1,1,0,28,0,0,14,93,9,2,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,21,BENEVENTO,SAMPDORIA,18',0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,22,SAMPDORIA,FIORENTINA,31',1,0,1,1,0,1,0,15,0,0,6,60,5,0,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,23,LAZIO,SAMPDORIA,96',0,0,4,0,1,2,2,35,0,0,14,61,12,5,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,24,SAMPDORIA,ATALANTA,32',0,0,1,0,0,0,1,13,0,0,6,100,4,2,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,25,GENOA,SAMPDORIA,77',0,0,3,0,1,0,0,38,0,0,18,67,12,1,0,0,0
F.QUAGLIARELLA,27,2020-2021,SAMPDORIA,26,SAMPDORIA,CAGLIARI,89',0,0,2,1,1,0,4,44,1,0,20,74,14,2,0,0,0
