Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
B.MAYORAL,21,2020-2021,ROMA,4,ROMA,BENEVENTO,9',0,0,0,0,0,0,0,3,0,0,2,100,1,0,0,0,0
B.MAYORAL,21,2020-2021,ROMA,7,GENOA,ROMA,62',0,0,1,0,1,0,1,19,0,0,11,85,9,3,0,0,0
B.MAYORAL,21,2020-2021,ROMA,8,ROMA,PARMA,65',1,0,1,1,0,2,0,36,1,2,23,82,20,0,0,0,0
B.MAYORAL,21,2020-2021,ROMA,9,NAPOLI,ROMA,11',0,0,0,0,0,0,0,5,0,0,3,75,1,0,0,0,0
B.MAYORAL,21,2020-2021,ROMA,10,ROMA,SASSUOLO,9',0,0,0,0,0,0,0,6,0,0,3,100,3,0,0,0,0
B.MAYORAL,21,2020-2021,ROMA,11,BOLOGNA,ROMA,11',0,0,2,2,0,2,2,8,0,0,3,100,2,1,0,0,0
B.MAYORAL,21,2020-2021,ROMA,12,ROMA,TORINO,34',0,0,1,0,1,1,0,10,1,0,5,83,3,0,0,0,0
B.MAYORAL,21,2020-2021,ROMA,14,ROMA,CAGLIARI,16',0,0,1,0,0,1,0,6,0,0,2,100,0,0,0,0,0
B.MAYORAL,21,2020-2021,ROMA,15,ROMA,SAMPDORIA,6',0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
B.MAYORAL,21,2020-2021,ROMA,16,CROTONE,ROMA,86',2,0,3,3,0,3,1,37,0,0,19,83,10,4,0,0,0
B.MAYORAL,21,2020-2021,ROMA,17,ROMA,INTER,7',0,0,0,0,0,0,0,3,0,0,1,50,0,0,0,0,0
B.MAYORAL,21,2020-2021,ROMA,18,LAZIO,ROMA,25',0,0,0,0,0,0,0,5,0,0,1,25,1,0,0,0,0
B.MAYORAL,21,2020-2021,ROMA,19,ROMA,SPEZIA,96',2,0,4,2,0,3,1,35,0,1,15,75,10,0,1,0,0
B.MAYORAL,21,2020-2021,ROMA,20,ROMA,HELLAS VERONA,89',1,0,3,1,0,2,2,42,1,0,23,77,18,4,0,0,0
