Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
D.ZAPATA,91,2020-2021,ATALANTA,1,LAZIO,ATALANTA,83',0,0,1,1,0,1,1,30,0,0,12,86,8,2,0,0,0
D.ZAPATA,91,2020-2021,ATALANTA,2,TORINO,ATALANTA,86',0,0,2,1,0,0,2,47,1,0,22,81,19,4,0,0,0
D.ZAPATA,91,2020-2021,ATALANTA,3,ATALANTA,CAGLIARI,66',1,0,5,4,1,4,0,42,1,1,16,73,15,1,0,0,0
D.ZAPATA,91,2020-2021,ATALANTA,4,NAPOLI,ATALANTA,46',0,0,1,0,0,0,0,19,0,0,11,92,4,2,0,0,0
D.ZAPATA,91,2020-2021,ATALANTA,5,ATALANTA,SAMPDORIA,49',1,0,2,1,1,1,1,23,0,0,14,93,11,0,0,0,0
D.ZAPATA,91,2020-2021,ATALANTA,6,CROTONE,ATALANTA,49',0,0,4,0,1,2,3,33,0,0,13,87,11,2,0,0,0
D.ZAPATA,91,2020-2021,ATALANTA,7,ATALANTA,INTER,73',0,0,0,0,0,0,1,31,0,0,16,89,11,1,0,0,0
D.ZAPATA,91,2020-2021,ATALANTA,8,SPEZIA,ATALANTA,69',0,0,1,1,0,1,0,40,0,0,19,83,12,4,0,0,0
D.ZAPATA,91,2020-2021,ATALANTA,9,ATALANTA,HELLAS VERONA,64',0,0,1,1,0,1,2,53,0,2,32,86,24,3,0,0,0
D.ZAPATA,91,2020-2021,ATALANTA,11,ATALANTA,FIORENTINA,82',0,0,3,3,0,2,4,46,1,1,20,87,17,4,0,0,0
D.ZAPATA,91,2020-2021,ATALANTA,12,JUVENTUS,ATALANTA,74',0,0,2,1,1,2,3,39,0,0,11,73,10,2,0,0,0
D.ZAPATA,91,2020-2021,ATALANTA,13,ATALANTA,ROMA,74',1,0,1,1,0,1,1,34,0,0,9,56,8,5,0,0,0
D.ZAPATA,91,2020-2021,ATALANTA,14,BOLOGNA,ATALANTA,28',0,0,0,0,0,0,1,13,0,0,8,100,7,0,0,0,0
D.ZAPATA,91,2020-2021,ATALANTA,15,ATALANTA,SASSUOLO,85',2,0,6,3,0,3,2,47,1,0,23,82,20,5,0,0,0
D.ZAPATA,91,2020-2021,ATALANTA,16,ATALANTA,PARMA,47',1,0,1,1,0,1,0,25,0,2,12,80,13,0,0,0,0
D.ZAPATA,91,2020-2021,ATALANTA,17,BENEVENTO,ATALANTA,73',1,0,3,2,0,3,0,41,0,1,18,82,16,2,0,0,0
