Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
F.DIMARCO,3,2020-2021,HELLAS VERONA,1,HELLAS VERONA,ROMA,96',0,0,1,1,0,1,2,59,0,0,22,69,12,6,0,0,0
F.DIMARCO,3,2020-2021,HELLAS VERONA,2,HELLAS VERONA,UDINESE,96',0,0,1,0,0,0,2,61,0,0,21,58,12,3,0,0,0
F.DIMARCO,3,2020-2021,HELLAS VERONA,3,PARMA,HELLAS VERONA,95',0,0,1,1,0,0,1,104,0,3,59,86,37,5,1,0,0
F.DIMARCO,3,2020-2021,HELLAS VERONA,4,HELLAS VERONA,GENOA,27',0,0,1,1,0,0,1,29,0,1,12,75,4,1,0,0,0
F.DIMARCO,3,2020-2021,HELLAS VERONA,6,HELLAS VERONA,BENEVENTO,95',0,0,1,0,1,0,0,49,2,0,16,62,12,1,0,0,0
F.DIMARCO,3,2020-2021,HELLAS VERONA,7,MILAN,HELLAS VERONA,96',0,0,1,0,0,1,1,53,0,1,23,74,18,10,0,0,0
F.DIMARCO,3,2020-2021,HELLAS VERONA,8,HELLAS VERONA,SASSUOLO,95',0,0,1,1,0,1,2,82,0,1,36,77,28,2,1,0,0
F.DIMARCO,3,2020-2021,HELLAS VERONA,9,ATALANTA,HELLAS VERONA,95',0,0,0,0,0,0,1,66,0,1,28,67,16,7,0,0,0
F.DIMARCO,3,2020-2021,HELLAS VERONA,10,HELLAS VERONA,CAGLIARI,93',0,0,1,1,0,1,1,92,0,1,47,81,30,3,0,0,0
F.DIMARCO,3,2020-2021,HELLAS VERONA,11,LAZIO,HELLAS VERONA,98',0,0,0,0,0,2,1,75,0,0,31,70,17,4,0,0,0
F.DIMARCO,3,2020-2021,HELLAS VERONA,12,HELLAS VERONA,SAMPDORIA,98',0,0,1,1,0,1,2,74,0,0,29,71,14,5,0,0,0
F.DIMARCO,3,2020-2021,HELLAS VERONA,13,FIORENTINA,HELLAS VERONA,98',0,0,1,0,0,0,0,50,0,0,11,58,6,7,1,0,0
F.DIMARCO,3,2020-2021,HELLAS VERONA,14,HELLAS VERONA,INTER,96',0,0,2,1,0,2,3,48,0,0,26,79,18,1,1,0,0
F.DIMARCO,3,2020-2021,HELLAS VERONA,15,SPEZIA,HELLAS VERONA,76',0,0,0,0,0,0,4,73,0,2,40,77,21,7,0,0,0
F.DIMARCO,3,2020-2021,HELLAS VERONA,16,TORINO,HELLAS VERONA,97',1,0,1,1,0,1,1,69,0,0,27,64,15,4,0,0,0
