Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
GERVINHO,27,2020-2021,PARMA,2,BOLOGNA,PARMA,70',0,0,1,1,0,1,0,31,0,0,11,61,10,0,0,0,0
GERVINHO,27,2020-2021,PARMA,3,PARMA,HELLAS VERONA,95',0,0,3,1,1,2,1,37,0,1,21,84,18,0,0,0,0
GERVINHO,27,2020-2021,PARMA,4,UDINESE,PARMA,97',0,0,0,0,0,0,0,27,0,1,17,85,14,0,0,0,0
GERVINHO,27,2020-2021,PARMA,5,PARMA,SPEZIA,94',0,0,1,0,0,1,0,23,0,0,11,85,9,0,0,0,0
GERVINHO,27,2020-2021,PARMA,6,INTER,PARMA,76',2,0,2,2,0,2,1,14,0,0,3,38,2,0,0,0,0
GERVINHO,27,2020-2021,PARMA,7,PARMA,FIORENTINA,81',0,0,0,0,0,0,0,26,0,0,14,82,11,0,0,0,0
GERVINHO,27,2020-2021,PARMA,8,ROMA,PARMA,62',0,0,0,0,0,0,0,22,0,0,13,93,9,2,0,0,0
GERVINHO,27,2020-2021,PARMA,9,GENOA,PARMA,99',2,0,7,3,1,5,1,44,0,0,20,77,18,0,0,0,0
GERVINHO,27,2020-2021,PARMA,10,PARMA,BENEVENTO,94',0,0,1,0,0,0,1,37,0,0,23,92,17,1,0,0,0
GERVINHO,27,2020-2021,PARMA,11,MILAN,PARMA,97',0,0,0,0,0,0,0,33,1,1,16,76,12,1,0,0,0
GERVINHO,27,2020-2021,PARMA,12,PARMA,CAGLIARI,76',0,0,1,0,0,0,1,37,0,2,22,76,15,2,0,0,0
GERVINHO,27,2020-2021,PARMA,13,PARMA,JUVENTUS,45',0,0,0,0,0,0,0,10,0,0,5,63,2,0,0,0,0
