Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
J.KURTIC,14,2020-2021,PARMA,3,PARMA,HELLAS VERONA,76',1,0,3,2,1,2,3,34,0,1,21,84,15,1,0,0,0
J.KURTIC,14,2020-2021,PARMA,4,UDINESE,PARMA,65',0,0,0,0,0,0,0,59,0,0,38,93,19,7,0,0,0
J.KURTIC,14,2020-2021,PARMA,5,PARMA,SPEZIA,79',0,0,1,1,0,1,1,45,0,2,24,80,15,2,0,0,0
J.KURTIC,14,2020-2021,PARMA,6,INTER,PARMA,76',0,0,1,0,0,0,0,33,0,0,19,79,3,7,0,0,0
J.KURTIC,14,2020-2021,PARMA,7,PARMA,FIORENTINA,94',0,0,0,0,0,0,1,54,0,0,28,80,13,5,0,0,0
J.KURTIC,14,2020-2021,PARMA,8,ROMA,PARMA,31',0,0,0,0,0,0,1,20,0,0,15,88,9,0,0,0,0
J.KURTIC,14,2020-2021,PARMA,9,GENOA,PARMA,99',0,0,0,0,0,0,0,41,0,1,25,81,14,5,0,0,0
J.KURTIC,14,2020-2021,PARMA,10,PARMA,BENEVENTO,94',0,0,1,0,1,0,1,68,0,0,44,90,25,7,1,0,0
J.KURTIC,14,2020-2021,PARMA,11,MILAN,PARMA,77',1,0,1,1,0,1,1,32,0,0,16,76,4,5,0,0,0
J.KURTIC,14,2020-2021,PARMA,12,PARMA,CAGLIARI,97',0,0,3,0,1,1,3,79,0,0,44,86,28,6,0,0,0
J.KURTIC,14,2020-2021,PARMA,13,PARMA,JUVENTUS,85',0,0,0,0,0,0,2,41,0,2,21,88,12,5,0,0,0
J.KURTIC,14,2020-2021,PARMA,14,CROTONE,PARMA,98',0,0,3,0,1,0,1,43,0,0,28,93,19,3,1,0,0
J.KURTIC,14,2020-2021,PARMA,15,PARMA,TORINO,97',0,0,3,0,0,1,1,52,0,1,25,81,19,7,0,0,0
