Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
SAMIR,3,2020-2021,UDINESE,1,UDINESE,SPEZIA,80',0,0,0,0,0,0,1,45,0,0,36,90,12,1,0,0,0
SAMIR,3,2020-2021,UDINESE,2,HELLAS VERONA,UDINESE,96',0,0,1,1,0,1,2,88,0,0,54,79,25,9,0,0,0
SAMIR,3,2020-2021,UDINESE,3,UDINESE,ROMA,95',0,0,0,0,0,0,2,57,0,0,39,89,13,4,0,0,0
SAMIR,3,2020-2021,UDINESE,4,UDINESE,PARMA,97',1,0,3,2,0,2,1,46,0,0,25,83,8,6,0,0,0
SAMIR,3,2020-2021,UDINESE,5,FIORENTINA,UDINESE,83',0,0,1,0,0,0,1,48,0,0,36,92,13,4,0,0,0
SAMIR,3,2020-2021,UDINESE,6,UDINESE,MILAN,94',0,0,1,0,0,0,2,53,0,0,27,96,12,6,0,0,0
SAMIR,3,2020-2021,UDINESE,7,SASSUOLO,UDINESE,94',0,0,0,0,0,0,1,56,0,0,40,93,13,7,0,0,0
SAMIR,3,2020-2021,UDINESE,8,UDINESE,GENOA,100',0,0,1,0,0,0,3,77,0,0,49,86,15,10,0,0,0
SAMIR,3,2020-2021,UDINESE,9,LAZIO,UDINESE,98',0,0,1,1,0,1,0,80,0,0,58,91,22,6,1,0,0
SAMIR,3,2020-2021,UDINESE,11,TORINO,UDINESE,96',0,0,0,0,0,0,2,67,0,0,38,90,12,13,0,0,0
SAMIR,3,2020-2021,UDINESE,12,UDINESE,CROTONE,94',0,0,0,0,0,0,2,63,0,0,45,88,25,6,1,0,0
SAMIR,3,2020-2021,UDINESE,13,CAGLIARI,UDINESE,94',0,0,0,0,0,0,3,58,0,1,38,93,13,5,0,0,0
SAMIR,3,2020-2021,UDINESE,14,UDINESE,BENEVENTO,97',0,0,0,0,0,0,2,86,0,0,62,97,35,11,0,0,0
SAMIR,3,2020-2021,UDINESE,15,JUVENTUS,UDINESE,95',0,0,0,0,0,0,2,72,0,1,45,92,13,8,0,0,0
SAMIR,3,2020-2021,UDINESE,16,BOLOGNA,UDINESE,78',0,0,0,0,0,0,0,62,0,0,39,87,22,3,1,0,0
SAMIR,3,2020-2021,UDINESE,17,UDINESE,NAPOLI,97',0,0,1,0,0,1,0,70,0,0,42,76,14,10,1,0,0
SAMIR,3,2020-2021,UDINESE,18,SAMPDORIA,UDINESE,94',0,0,0,0,0,0,2,63,0,0,36,78,19,8,0,0,0
SAMIR,3,2020-2021,UDINESE,19,UDINESE,INTER,96',0,0,0,0,0,0,0,69,0,0,47,92,17,12,1,0,0
SAMIR,3,2020-2021,UDINESE,10,UDINESE,ATALANTA,99',0,0,0,0,0,0,3,56,0,0,27,84,9,15,0,0,0
SAMIR,3,2020-2021,UDINESE,21,UDINESE,HELLAS VERONA,96',0,0,1,1,0,1,2,53,0,0,32,80,11,8,0,0,0
