Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
N.ZANELLATO,21,2020-2021,CROTONE,1,GENOA,CROTONE,60',0,0,1,0,0,0,1,25,0,0,16,76,10,1,0,0,0
N.ZANELLATO,21,2020-2021,CROTONE,2,CROTONE,MILAN,48',0,0,0,0,0,0,0,23,0,0,13,68,9,0,0,0,0
N.ZANELLATO,21,2020-2021,CROTONE,6,CROTONE,ATALANTA,79',0,0,0,0,0,0,0,36,0,0,26,81,9,2,0,0,0
N.ZANELLATO,21,2020-2021,CROTONE,11,CROTONE,SPEZIA,89',0,0,0,0,0,0,1,33,0,0,25,86,7,0,0,0,0
N.ZANELLATO,21,2020-2021,CROTONE,12,UDINESE,CROTONE,11',0,0,0,0,0,0,0,3,0,0,1,50,0,1,0,0,0
N.ZANELLATO,21,2020-2021,CROTONE,14,CROTONE,PARMA,90',0,0,1,0,0,0,4,53,0,0,32,78,14,4,0,0,0
N.ZANELLATO,21,2020-2021,CROTONE,15,INTER,CROTONE,91',1,0,1,1,0,1,1,77,0,0,62,93,22,3,0,0,0
N.ZANELLATO,21,2020-2021,CROTONE,16,CROTONE,ROMA,95',0,0,0,0,0,0,4,79,0,0,59,91,23,3,0,0,0
N.ZANELLATO,21,2020-2021,CROTONE,17,HELLAS VERONA,CROTONE,94',0,0,0,0,0,0,1,62,0,0,38,81,14,8,0,0,0
N.ZANELLATO,21,2020-2021,CROTONE,18,CROTONE,BENEVENTO,87',0,0,0,0,0,0,1,53,0,0,29,71,10,10,0,0,0
N.ZANELLATO,21,2020-2021,CROTONE,19,FIORENTINA,CROTONE,78',0,0,0,0,0,0,0,35,0,0,25,78,8,1,1,0,0
N.ZANELLATO,21,2020-2021,CROTONE,20,CROTONE,GENOA,71',0,0,0,0,0,0,4,46,0,0,28,80,9,2,0,0,0
N.ZANELLATO,21,2020-2021,CROTONE,21,MILAN,CROTONE,90',0,0,0,0,0,0,0,47,0,0,34,81,13,2,0,0,0
N.ZANELLATO,21,2020-2021,CROTONE,22,CROTONE,SASSUOLO,97',0,0,1,0,0,0,3,38,0,0,20,77,5,5,0,0,0
N.ZANELLATO,21,2020-2021,CROTONE,23,JUVENTUS,CROTONE,22',0,0,0,0,0,0,0,19,0,0,12,71,6,0,0,0,0
N.ZANELLATO,21,2020-2021,CROTONE,24,CROTONE,CAGLIARI,77',0,0,0,0,0,0,1,49,0,0,31,78,23,2,0,0,0
N.ZANELLATO,21,2020-2021,CROTONE,25,ATALANTA,CROTONE,91',0,0,0,0,0,0,1,41,0,0,25,83,7,2,0,0,0
N.ZANELLATO,21,2020-2021,CROTONE,26,CROTONE,TORINO,13',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
N.ZANELLATO,21,2020-2021,CROTONE,29,NAPOLI,CROTONE,81',0,0,0,0,0,0,2,37,0,0,21,78,8,5,0,0,0
N.ZANELLATO,21,2020-2021,CROTONE,30,SPEZIA,CROTONE,26',0,0,0,0,0,0,0,11,1,0,4,57,3,3,0,0,0
N.ZANELLATO,21,2020-2021,CROTONE,31,CROTONE,UDINESE,18',0,0,0,0,0,0,2,14,0,0,6,60,4,2,0,0,0
