Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
I.ILIC,14,2021-2022,HELLAS VERONA,1,HELLAS VERONA,SASSUOLO,24',0,0,0,0,0,0,0,18,0,0,11,79,8,1,0,0,0
I.ILIC,14,2021-2022,HELLAS VERONA,2,HELLAS VERONA,INTER,96',1,0,1,1,0,1,2,60,0,0,37,82,22,4,0,0,0
I.ILIC,14,2021-2022,HELLAS VERONA,3,BOLOGNA,HELLAS VERONA,84',0,0,0,0,0,0,1,89,0,0,60,92,30,8,0,0,0
I.ILIC,14,2021-2022,HELLAS VERONA,4,HELLAS VERONA,ROMA,97',0,1,0,0,0,0,0,77,1,0,49,89,22,14,0,0,0
I.ILIC,14,2021-2022,HELLAS VERONA,5,SALERNITANA,HELLAS VERONA,48',0,0,0,0,0,0,0,40,1,0,29,94,16,1,0,0,0
I.ILIC,14,2021-2022,HELLAS VERONA,6,GENOA,HELLAS VERONA,97',0,0,0,0,0,0,1,70,0,1,42,82,27,5,1,0,0
I.ILIC,14,2021-2022,HELLAS VERONA,7,HELLAS VERONA,SPEZIA,93',0,0,0,0,0,0,1,60,1,0,41,93,24,5,0,0,0
I.ILIC,14,2021-2022,HELLAS VERONA,8,MILAN,HELLAS VERONA,97',0,0,1,1,0,1,1,47,0,0,20,71,18,7,0,0,0
I.ILIC,14,2021-2022,HELLAS VERONA,9,HELLAS VERONA,LAZIO,81',0,0,2,0,0,2,1,50,0,1,34,89,14,4,0,0,0
I.ILIC,14,2021-2022,HELLAS VERONA,10,UDINESE,HELLAS VERONA,23',0,0,0,0,0,0,0,19,0,0,13,81,7,1,1,0,0
I.ILIC,14,2021-2022,HELLAS VERONA,14,SAMPDORIA,HELLAS VERONA,97',0,0,1,0,0,0,2,73,0,0,44,86,25,8,0,0,0
I.ILIC,14,2021-2022,HELLAS VERONA,15,HELLAS VERONA,CAGLIARI,78',0,0,0,0,0,0,1,62,0,0,41,79,22,2,0,0,0
I.ILIC,14,2021-2022,HELLAS VERONA,16,VENEZIA,HELLAS VERONA,80',0,0,2,0,0,1,0,49,0,1,29,83,17,6,0,0,0
I.ILIC,14,2021-2022,HELLAS VERONA,17,HELLAS VERONA,ATALANTA,59',0,0,0,0,0,1,0,35,0,1,21,78,16,2,0,0,0
