Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
R.MARIN,8,2021-2022,CAGLIARI,1,CAGLIARI,SPEZIA,97',0,0,0,0,0,0,1,70,1,1,38,86,26,0,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,2,MILAN,CAGLIARI,96',0,0,0,0,0,0,1,58,0,1,40,91,21,0,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,3,CAGLIARI,GENOA,97',0,0,1,0,0,1,1,64,1,1,36,82,19,2,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,4,LAZIO,CAGLIARI,97',0,0,0,0,0,0,1,46,1,0,23,72,10,2,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,5,CAGLIARI,EMPOLI,96',0,0,3,0,0,1,0,68,0,1,39,81,20,0,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,6,NAPOLI,CAGLIARI,93',0,0,0,0,0,0,2,42,0,0,26,84,11,0,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,7,CAGLIARI,VENEZIA,96',0,0,1,0,1,1,1,49,0,0,26,81,18,2,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,8,CAGLIARI,SAMPDORIA,98',0,0,3,1,0,0,2,43,0,0,19,79,13,0,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,9,FIORENTINA,CAGLIARI,95',0,0,0,0,0,0,2,56,0,0,40,89,19,1,1,0,0
R.MARIN,8,2021-2022,CAGLIARI,10,CAGLIARI,ROMA,98',0,0,1,0,0,0,1,44,0,0,20,74,12,3,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,11,BOLOGNA,CAGLIARI,97',0,0,2,0,0,1,1,60,0,0,40,87,27,0,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,12,CAGLIARI,ATALANTA,96',0,0,1,0,0,1,0,39,0,1,23,82,9,1,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,13,SASSUOLO,CAGLIARI,84',0,0,0,0,0,0,1,37,0,0,25,83,12,6,1,0,0
R.MARIN,8,2021-2022,CAGLIARI,14,CAGLIARI,SALERNITANA,102',0,0,3,0,0,7,0,68,0,7,41,82,36,6,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,15,HELLAS VERONA,CAGLIARI,20',0,0,0,0,0,1,0,9,0,1,4,80,4,2,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,16,CAGLIARI,TORINO,95',0,0,2,0,0,2,1,71,0,2,45,80,31,8,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,17,INTER,CAGLIARI,91',0,0,1,0,0,1,1,39,0,1,26,87,8,8,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,18,CAGLIARI,UDINESE,68',0,0,0,0,0,1,1,52,0,1,38,90,26,4,0,1,0
R.MARIN,8,2021-2022,CAGLIARI,20,SAMPDORIA,CAGLIARI,95',0,0,1,0,0,5,1,64,0,5,42,78,25,7,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,21,CAGLIARI,BOLOGNA,99',0,0,1,0,0,2,1,52,0,2,28,85,17,3,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,22,ROMA,CAGLIARI,99',0,0,0,0,0,1,1,64,0,1,40,78,23,8,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,23,CAGLIARI,FIORENTINA,98',0,0,0,0,0,1,3,35,0,1,17,77,9,4,0,0,0
R.MARIN,8,2021-2022,CAGLIARI,24,ATALANTA,CAGLIARI,99',0,0,1,0,0,2,4,49,0,2,25,81,12,4,0,0,0
