Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
A.RABIOT,25,2021-2022,JUVENTUS,2,JUVENTUS,EMPOLI,56',0,0,1,0,0,0,1,30,0,0,17,81,11,2,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,3,NAPOLI,JUVENTUS,96',0,0,0,0,0,0,2,56,0,0,33,87,19,3,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,4,JUVENTUS,MILAN,95',0,0,2,0,0,1,2,43,0,1,23,85,13,2,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,5,SPEZIA,JUVENTUS,67',0,0,4,1,0,0,0,45,1,0,31,94,21,4,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,7,TORINO,JUVENTUS,94',0,0,0,0,0,0,1,49,0,0,22,76,12,6,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,10,JUVENTUS,SASSUOLO,46',0,0,1,0,0,0,1,27,0,1,21,100,10,2,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,11,HELLAS VERONA,JUVENTUS,57',0,0,0,0,0,0,0,24,0,0,12,67,10,1,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,12,JUVENTUS,FIORENTINA,81',0,0,1,0,0,0,2,38,0,0,19,76,7,4,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,13,LAZIO,JUVENTUS,100',0,0,1,0,0,1,1,64,0,1,37,88,10,9,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,14,JUVENTUS,ATALANTA,96',0,0,1,1,0,0,3,67,0,0,45,82,13,5,1,0,0
A.RABIOT,25,2021-2022,JUVENTUS,15,SALERNITANA,JUVENTUS,23',0,0,0,0,0,0,0,23,0,0,20,100,12,3,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,16,JUVENTUS,GENOA,10',0,0,0,0,0,0,0,14,0,0,9,82,3,2,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,17,VENEZIA,JUVENTUS,95',0,0,2,0,0,0,4,86,0,0,47,81,23,8,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,18,BOLOGNA,JUVENTUS,93',0,0,2,2,0,2,0,71,0,2,41,77,21,5,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,19,JUVENTUS,CAGLIARI,45',0,0,0,0,0,0,0,35,0,0,24,80,16,0,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,20,JUVENTUS,NAPOLI,66',0,0,1,0,0,0,1,29,0,0,19,83,8,4,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,22,JUVENTUS,UDINESE,11',0,0,0,0,0,0,0,10,0,0,7,100,5,2,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,23,MILAN,JUVENTUS,3',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,24,JUVENTUS,HELLAS VERONA,94',0,0,1,1,0,1,0,55,0,1,33,80,13,8,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,25,ATALANTA,JUVENTUS,87',0,0,1,0,0,1,3,46,0,1,22,73,15,4,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,26,JUVENTUS,TORINO,95',0,0,1,0,0,1,0,37,0,1,21,84,13,5,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,27,EMPOLI,JUVENTUS,97',0,0,1,0,0,2,2,56,1,1,27,68,14,10,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,28,JUVENTUS,SPEZIA,93',0,0,0,0,0,2,0,81,0,2,49,84,28,5,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,29,SAMPDORIA,JUVENTUS,75',0,0,0,0,0,1,0,55,0,1,37,86,21,4,1,0,0
A.RABIOT,25,2021-2022,JUVENTUS,30,JUVENTUS,SALERNITANA,96',0,0,1,0,0,0,0,54,0,0,34,94,18,8,1,0,0
A.RABIOT,25,2021-2022,JUVENTUS,31,JUVENTUS,INTER,94',0,0,0,0,0,2,0,53,0,2,41,95,27,7,1,0,0
A.RABIOT,25,2021-2022,JUVENTUS,32,CAGLIARI,JUVENTUS,70',0,0,1,0,0,1,2,32,0,1,17,81,11,0,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,33,JUVENTUS,BOLOGNA,99',0,0,3,1,0,0,2,51,0,0,35,92,25,6,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,34,SASSUOLO,JUVENTUS,96',0,0,1,1,0,1,0,49,0,1,25,74,12,5,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,35,JUVENTUS,VENEZIA,96',0,0,0,0,0,2,0,52,0,2,23,82,15,7,0,0,0
A.RABIOT,25,2021-2022,JUVENTUS,36,GENOA,JUVENTUS,97',0,0,0,0,0,1,1,62,0,1,34,79,17,7,0,0,0
