Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
M.THORSBY,2,2021-2022,SAMPDORIA,1,SAMPDORIA,MILAN,96',0,0,0,0,0,0,0,38,0,0,23,88,10,7,0,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,2,SASSUOLO,SAMPDORIA,94',0,0,2,1,0,1,1,50,0,0,18,62,11,13,1,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,3,SAMPDORIA,INTER,99',0,0,2,0,0,1,2,34,0,0,16,89,13,4,1,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,4,EMPOLI,SAMPDORIA,63',0,0,0,0,0,0,0,28,0,0,12,71,12,5,0,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,5,SAMPDORIA,NAPOLI,72',0,0,1,0,0,0,1,31,0,0,21,81,15,2,0,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,6,JUVENTUS,SAMPDORIA,89',0,0,0,0,0,0,4,33,0,0,20,80,14,4,1,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,7,SAMPDORIA,UDINESE,96',0,0,0,0,0,0,0,40,0,0,22,81,10,8,1,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,8,CAGLIARI,SAMPDORIA,98',1,0,1,1,0,1,1,40,0,0,19,59,14,10,1,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,10,SAMPDORIA,ATALANTA,96',0,0,0,0,0,0,2,53,1,0,21,57,12,16,1,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,11,TORINO,SAMPDORIA,93',0,0,2,0,0,1,3,44,0,2,18,58,12,15,0,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,12,SAMPDORIA,BOLOGNA,97',1,0,1,1,0,0,2,47,0,0,25,64,13,3,0,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,13,SALERNITANA,SAMPDORIA,96',0,0,1,1,0,0,4,52,0,0,13,46,7,5,0,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,14,SAMPDORIA,HELLAS VERONA,97',0,0,0,0,0,1,1,40,0,1,21,66,14,10,1,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,15,FIORENTINA,SAMPDORIA,94',0,0,1,0,0,1,0,50,0,1,24,65,9,5,0,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,16,SAMPDORIA,LAZIO,95',0,0,1,1,0,1,0,41,0,1,19,73,12,7,0,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,17,GENOA,SAMPDORIA,78',0,0,2,1,0,0,0,34,0,0,10,67,3,5,1,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,18,SAMPDORIA,VENEZIA,95',0,0,2,0,0,0,2,54,0,0,18,62,14,4,0,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,20,SAMPDORIA,CAGLIARI,95',0,0,0,0,0,0,2,38,0,0,18,62,10,5,0,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,21,NAPOLI,SAMPDORIA,96',0,0,1,0,0,0,0,39,0,0,22,79,14,3,0,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,22,SAMPDORIA,TORINO,98',0,0,1,1,0,0,2,36,0,0,12,55,7,6,0,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,23,SPEZIA,SAMPDORIA,77',0,0,0,0,0,0,1,33,0,0,13,57,7,1,1,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,24,SAMPDORIA,SASSUOLO,99',0,0,0,0,0,0,2,46,0,0,26,79,13,4,0,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,25,MILAN,SAMPDORIA,58',0,0,0,0,0,0,0,25,0,0,16,80,5,4,0,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,26,SAMPDORIA,EMPOLI,93',0,0,0,0,0,0,0,47,0,0,31,84,13,2,0,0,0
M.THORSBY,2,2021-2022,SAMPDORIA,27,ATALANTA,SAMPDORIA,92',0,0,0,0,0,1,1,42,0,1,23,79,9,6,1,0,0
