Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,A_Referee_1,A_Referee_2,4_official,VAR_official,AVAR_official,Gls_T1,Gls_T2,FR,Coach_T1,Coach_T2,Fmt_T1,Fmt_T2,Ptt,Ptr,Ptp,Ptt_T1,Pt_DH_T1,Pt_OH_T1,Ptt_T2,Pt_DH_T2,Pt_OH_T2,Pt_0_15_T1,Pt_16_30_T1,Pt_31_HT_T1,Pt_45_60_T1,Pt_61_75_T1,Pt_76_FT_T1,Pt_0_15_T2,Pt_16_30_T2,Pt_31_HT_T2,Pt_45_60_T2,Pt_61_75_T2,Pt_76_FT_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_sp_T1,Atp_on_sp_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_on_pb_T1,Atp_on_pb_T2,Post_T1,Post_T2,Atp_off_T1,Atp_off_T2,Svs_T1,Svs_T2,Blck_shts_T1,Blck_shts_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Drbbl_T1,Drbbl_T2,Crn_T1,Crn_T2,FlsC_T1,FlsC_T2,Pss_Cmpl_T1,Pss_Cmpl_T2,Pss_Cmpl_Perc_T1,Pss_Cmpl_Perc_T2,Pss_Fnl_Thr_T1,Pss_Fnl_Thr_T2,Frwd_Pss_T1,Frwd_Pss_T2,Bck_Pss_T1,Bck_Pss_T2,Lng_Pss_T1,Lng_Pss_T2,Key_Pss_T1,Key_Pss_T2,Rcv_Bls_T1,Rcv_Bls_T2,Pnt_T1,Pnt_T2,Dst_c_T1,Dst_j_T1,Dst_r_T1,Dst_s_T1,Dst_c_T2,Dst_j_T2,Dst_r_T2,Dst_s_T2,Avg_Spd_T1,Avg_Spd_T2,Atk_l_T1,Atk_c_T1,Atk_r_T1,Atk_l_T2,Atk_c_T2,Atk_r_T2,Blls_Plyd_T1,Blls_Plyd_Def_T1,Blls_Plyd_Mid_T1,Blls_Plyd_Atk_T1,Blls_Plyd_T2,Blls_Plyd_Def_T2,Blls_Plyd_Mid_T2,Blls_Plyd_Atk_T2,Tch_Def_Top_Left_T1,Tch_Def_Top_Ctr_Left_T1,Tch_Def_Top_Ctr_Right_T1,Tch_Def_Top_Right_T1,Tch_Def_Btm_Left_T1,Tch_Def_Btm_Ctr_Left_T1,Tch_Def_Btm_Ctr_Right_T1,Tch_Def_Btm_Right_T1,Tch_Mid_Top_Left_T1,Tch_Mid_Top_Ctr_Left_T1,Tch_Mid_Top_Ctr_Right_T1,Tch_Mid_Top_Right_T1,Tch_Mid_Btm_Left_T1,Tch_Mid_Btm_Ctr_Left_T1,Tch_Mid_Btm_Ctr_Right_T1,Tch_Mid_Btm_Right_T1,Tch_Atk_Top_Left_T1,Tch_Atk_Top_Ctr_Left_T1,Tch_Atk_Top_Ctr_Right_T1,Tch_Atk_Top_Right_T1,Tch_Atk_Btm_Left_T1,Tch_Atk_Btm_Ctr_Left_T1,Tch_Atk_Btm_Ctr_Right_T1,Tch_Atk_Btm_Right_T1,Tch_Def_Top_Left_T2,Tch_Def_Top_Ctr_Left_T2,Tch_Def_Top_Ctr_Right_T2,Tch_Def_Top_Right_T2,Tch_Def_Btm_Left_T2,Tch_Def_Btm_Ctr_Left_T2,Tch_Def_Btm_Ctr_Right_T2,Tch_Def_Btm_Right_T2,Tch_Mid_Top_Left_T2,Tch_Mid_Top_Ctr_Left_T2,Tch_Mid_Top_Ctr_Right_T2,Tch_Mid_Top_Right_T2,Tch_Mid_Btm_Left_T2,Tch_Mid_Btm_Ctr_Left_T2,Tch_Mid_Btm_Ctr_Right_T2,Tch_Mid_Btm_Right_T2,Tch_Atk_Top_Left_T2,Tch_Atk_Top_Ctr_Left_T2,Tch_Atk_Top_Ctr_Right_T2,Tch_Atk_Top_Right_T2,Tch_Atk_Btm_Left_T2,Tch_Atk_Btm_Ctr_Left_T2,Tch_Atk_Btm_Ctr_Right_T2,Tch_Atk_Btm_Right_T2,K_Ply_T1,K_Ply_Nbr_T1,K_Ply_T2,K_Ply_Nbr_T2,Odd_T1,Odd_D,Odd_T2
2020-2021,1,FIORENTINA,TORINO,19/09/2020,ARTEMIO FRANCHI STADIUM,18:00,ROSARIO  ABISSO,VALERIO  COLAROSSI,GIOVANNI  BACCINI,JUAN LUCA  SACCHI,PIERO  GIACOMELLI,MAURO GALETTO,1,0,H,GIUSEPPE IACHINI,MARCO GIAMPAOLO,3-5-2,4-3-1-2,100'08,62'30,62%,32'52 (53%),14'03 (43%),18'49 (57%),29'38 (47%),24'20 (82%),5'18 (18%),3'25,2'32,5'55,6'30,6'21,8'09,3'58,6'25,6'26,3'15,2'11,7'23,17,6,8(1),3(0),0,0,0,0,4,2,0,0,6,1,3,8,3,2,9,3,1,0,6,1,3,7,4,1,17,20,361,369,85%,83%,130,29,239,103,127,267,38,31,6,2,42,53,0 (0),0 (0),103.095,29.733,66.091,7.271,104.338,28.383,68.42,7.535,6.1,6.2,29 (54%),8 (15%),17 (31%),9 (29%),14 (45%),8 (26%),659,161,259,239,654,299,289,66,7,25,21,5,27,30,34,12,21,38,33,22,33,40,34,38,40,39,19,71,17,13,25,15,22,60,57,18,27,40,37,38,31,52,56,52,21,13,22,42,5,23,12,8,7,5,1,5,GAETANO CASTROVILLI,10,ANDREA BELOTTI,9,1.83,3.75,4.2
2020-2021,1,HELLAS VERONA,ROMA,19/09/2020,MARCANTONIO BENTEGODI STADIUM,20:45,DANIELE  CHIFFI,FABIANO  PRETI,LUIGI  ROSSI,ANTONIO  GIUA,MASSIMILIANO  IRRATI,ALESSIO  TOLFO,3,0,H,IVAN JURIC,PAULO FONSECA,3-4-2-1,3-4-2-1,96'12,48'19,50%,21'36 (45%),14'55 (69%),6'41 (31%),26'43 (55%),14'24 (54%),12'19 (46%),3'24,3'03,4'21,3'58,3'14,3'36,4'35,5'27,3'31,3'50,4'11,5'09,10,21,7(0),7(0),0,0,1,1,4,3,2,1,2,8,5,6,1,6,6,5,0,0,3,2,11,15,0,6,19,20,237,400,68%,77%,44,87,116,204,122,199,26,28,4,3,67,50,0 (0),0 (0),111.116,29.27,72.342,9.504,109.506,29.276,70.621,9.609,6.8,6.7,10 (25%),16 (40%),14 (35%),16 (36%),22 (48%),7 (16%),604,213,292,99,769,216,398,155,6,40,46,1,17,44,39,20,30,27,40,38,28,45,52,32,22,25,15,12,7,6,6,6,6,33,30,14,21,56,37,19,36,69,85,40,31,47,57,33,9,26,42,19,10,13,22,14,ADRIEN TAMEZE,61,LEONARDO SPINAZZOLA,37,3.75,3.5,1.95
2020-2021,1,PARMA,NAPOLI,20/09/2020,ENNIO TARDINI STADIUM,12:30,MAURIZIO  MARIANI,EMANUELE  PRENNA,DAMIANO  MARGANI,RICCARDO  ROS,GIANLUCA  AURELIANO,STEFANO DEL GIOVANE,0,2,A,FABIO LIVERANI,GENNARO GATTUSO,4-3-1-2,4-3-3,97'14,53'48,55%,21'59 (41%),15'37 (71%),6'22 (29%),31'49 (59%),14'10 (45%),17'39 (55%),3'56,4'20,4'24,2'16,2'12,4'51,6'15,5'48,6'18,5'24,3'56,4'07,6,16,2(0),7(2),0,0,0,0,1,3,0,1,2,5,4,2,2,4,0,6,0,0,2,1,6,10,4,2,16,12,345,576,85%,89%,48,152,108,325,239,252,33,29,0,2,46,31,0 (0),0 (0),110.622,27.387,76.409,6.826,108.599,28.15,72.577,7.872,6.7,6.7,12 (50%),5 (21%),7 (29%),19 (42%),5 (11%),21 (47%),629,289,244,96,859,210,416,233,14,32,54,8,42,61,59,19,41,47,41,20,23,18,27,27,14,16,16,12,4,8,10,16,7,23,34,8,28,43,39,28,25,41,63,62,44,52,61,68,56,48,28,46,21,17,10,7,ANDREAS CORNELIUS,11,LORENZO INSIGNE,24,5.25,4.2,1.61
2020-2021,1,GENOA,CROTONE,20/09/2020,LUIGI FERRARIS STADIUM,15:00,GIOVANNI  AYROLDI,ALESSANDRO  GIALLATINI,GIUSEPPE  MACADDINO,GIANLUCA  MANGANIELLO,LUCA  BANTI,SERGIO  RANGHETTI,4,1,H,ROLANDO MARAN,GIOVANNI STROPPA,3-5-2,3-5-2,94'59,55'01,58%,27'02 (49%),16'59 (63%),10'03 (37%),27'59 (51%),16'16 (58%),11'43 (42%),5'07,3'46,3'17,4'25,4'20,6'07,3'40,4'58,4'54,4'56,3'50,5'41,12,12,8(4),5(1),0,0,0,0,8,4,1,1,2,6,3,2,2,1,8,4,4,1,7,0,11,8,6,4,13,14,404,432,87%,86%,59,92,143,200,268,236,34,18,4,3,42,21,0 (0),0 (0),107.811,30.039,71.216,6.556,109.159,28.069,73.716,7.374,6.6,6.6,14 (32%),13 (29%),17 (39%),13 (29%),11 (24%),21 (47%),677,255,311,111,694,233,305,156,10,30,49,12,24,42,45,43,39,54,48,45,20,39,33,33,18,18,23,17,13,11,6,5,4,24,36,8,29,59,48,25,26,43,54,29,37,48,33,35,37,28,27,28,17,5,9,5,GORAN PANDEV,19,JUNIOR MESSIAS,30,1.9,3.6,4
2020-2021,1,SASSUOLO,CAGLIARI,20/09/2020,MAPEI STADIUM STADIUM,18:00,LIVIO  MARINELLI,ORESTE  MUTO,DOMENICO  PALERMO,MICHAEL  FABBRI,ALEANDRO  DI PAOLO,MAURO VIVENZI,1,1,D,ROBERTO DE ZERBI,EUSEBIO DI FRANCESCO,4-2-3-1,4-3-3,98'24,52'16,53%,34'14 (65%),16'12 (47%),18'02 (53%),18'02 (35%),8'40 (48%),9'22 (52%),5'44,5'13,5'07,5'22,5'02,7'46,2'01,2'58,4'07,3'34,1'30,3'52,30,8,10(1),4(1),0,0,2,1,5,1,0,0,11,4,3,8,9,0,8,2,0,1,2,2,12,7,7,3,9,18,601,256,91%,83%,137,58,313,130,291,129,25,25,4,1,25,47,0 (0),0 (0),109.75,28.291,72.309,9.15,113.145,27.091,76.299,9.755,6.6,6.8,16 (33%),12 (25%),20 (42%),10 (36%),4 (14%),14 (50%),898,269,411,218,538,223,206,109,11,21,32,6,28,90,57,24,27,60,71,20,33,62,90,48,35,42,49,31,12,20,18,11,7,38,49,7,24,34,46,18,24,23,33,8,29,36,36,17,20,16,27,18,6,9,5,8,MANUEL LOCATELLI,73,NAHITAN NANDEZ,18,1.95,3.75,3.75
2020-2021,1,JUVENTUS,SAMPDORIA,20/09/2020,ALLIANZ STADIUM STADIUM,20:45,MARCO  PICCININI,MATTEO  PASSERI,DOMENICO  ROCCA,FEDERICO  DIONISI,GIANPAOLO  CALVARESE,ALESSANDRO LO CICERO,3,0,H,ANDREA PIRLO,CLAUDIO RANIERI,3-5-2,4-5-1,92'07,54'58,60%,34'02 (62%),15'21 (45%),18'41 (55%),20'56 (38%),12'09 (58%),8'47 (42%),6'01,4'37,7'24,5'24,4'22,6'14,1'45,4'27,2'34,3'57,4'31,3'41,19,14,9(3),2(0),0,0,1,1,8,1,1,0,5,8,2,5,5,4,11,2,1,0,3,2,7,10,6,4,15,9,653,276,90%,78%,150,60,338,117,322,162,39,23,6,1,47,37,0 (0),0 (0),112.334,27.813,75.388,9.133,110.375,27.549,74.421,8.405,7.1,6.9,14 (32%),16 (36%),14 (32%),14 (39%),11 (30%),11 (31%),958,283,457,218,576,221,228,127,6,38,54,16,45,47,48,29,47,70,52,55,59,65,60,49,39,39,40,37,9,18,22,14,4,38,42,13,18,29,43,34,20,29,39,22,20,29,33,36,23,21,25,23,9,12,8,6,CRISTIANO RONALDO,7,GASTON RAMIREZ,11,1.28,5.5,10.5
2020-2021,1,MILAN,BOLOGNA,21/09/2020,GIUSEPPE MEAZZA STADIUM,20:45,FEDERICO  LA PENNA,MARCO  BRESMES,VALERIO  VECCHI,DAVIDE  GHERSINI,DAVIDE  MASSA,STEFANO LIBERTI,2,0,H,STEFANO PIOLI,SINISA MIHAJLOVIC,4-2-3-1,4-2-3-1,94'59,49'46,52%,30'24 (61%),19'48 (65%),10'36 (35%),19'22 (39%),11'25 (59%),7'57 (41%),4'30,3'25,5'30,3'32,4'37,8'50,4'30,2'44,3'33,2'47,2'35,3'13,17,12,6(2),5(0),0,1,1,0,4,4,0,1,8,1,4,3,3,6,9,4,1,0,5,1,9,8,7,4,13,17,440,307,86%,84%,110,62,208,142,235,168,37,27,4,2,40,43,1 (1),0 (0),105.581,31.148,65.113,9.32,106.964,29.042,68.467,9.455,6.4,6.6,16 (37%),14 (33%),13 (30%),17 (46%),14 (38%),6 (16%),739,248,304,187,615,256,247,112,7,27,38,7,34,52,53,30,39,37,47,47,32,26,36,40,38,38,40,19,9,12,20,11,19,44,55,2,20,43,46,27,18,28,27,36,31,35,37,35,18,20,16,19,8,11,10,10,ZLATAN IBRAHIMOVIC,11,ROBERTO SORIANO,21,1.57,4.33,5.5
2020-2021,1,BENEVENTO,INTER,30/09/2020,CIRO VIGORITO STADIUM,18:00,MARCO  PICCININI,LUCA  MONDIN,VITO  MASTRODONATO,LIVIO  MARINELLI,LUIGI  NASCA,PASQUALE DE MEO,2,5,A,FILIPPO INZAGHI,ANTONIO CONTE,4-3-2-1,3-4-1-2,94'58,54'16,57%,18'20 (34%),10'50 (59%),7'30 (41%),35'56 (66%),20'32 (57%),15'24 (43%),2'47,3'02,2'49,3'11,1'09,5'22,5'41,6'40,4'06,5'30,7'42,6'16,11,19,7(2),12(5),0,0,0,0,5,10,1,2,4,6,4,4,0,1,5,13,1,4,1,3,6,5,5,1,10,15,244,615,79%,91%,54,131,126,293,121,325,23,32,3,5,35,38,0 (0),0 (0),107.773,27.544,71.771,8.458,110.207,27.337,73.409,9.461,6.7,6.8,10 (37%),7 (26%),10 (37%),11 (31%),14 (40%),10 (29%),513,174,229,110,869,282,408,179,2,27,50,2,17,21,27,28,21,19,38,29,19,34,41,28,17,8,23,22,14,6,8,12,15,28,54,15,39,60,49,22,37,65,64,25,51,70,53,43,36,38,39,21,12,13,16,4,GIANLUCA CAPRARI,17,ACHRAF HAKIMI,2,9,4.75,1.36
2020-2021,1,UDINESE,SPEZIA,30/09/2020,DACIA ARENA - STADIO FRIULI STADIUM,18:00,ALESSANDRO  PRONTERA,FILIPPO  VALERIANI,THOMAS  RUGGIERI,DANIELE  CHIFFI,LUCA  PAIRETTO,GIORGIO PERETTI,0,2,A,LUCA GOTTI,VINCENZO ITALIANO,3-5-2,4-3-3,97'14,48'25,50%,24'19 (50%),12'53 (53%),11'26 (47%),24'06 (50%),17'55 (74%),6'11 (26%),3'27,2'44,3'41,3'18,3'55,7'13,4'07,6'02,8'04,1'57,1'32,2'24,11,4,5(0),3(2),0,0,0,0,4,3,1,0,5,1,0,4,1,0,5,3,0,2,6,3,12,2,2,2,13,17,369,407,83%,83%,99,44,211,153,163,256,22,44,4,1,18,45,0 (0),0 (0),109.018,28.719,71.166,9.133,108.445,27.267,74.168,7.01,6.6,6.7,15 (29%),18 (36%),18 (35%),12 (38%),10 (31%),10 (31%),655,92,391,172,692,261,362,69,4,16,13,7,9,22,18,3,17,66,76,24,62,65,34,47,30,29,23,30,10,7,22,21,22,55,33,8,41,40,27,35,53,56,68,47,53,30,27,28,5,9,13,19,7,5,3,8,FERNANDO FORESTIERI,45,ANDREY GALABINOV,9,1.6,3.75,5.75
2020-2021,1,LAZIO,ATALANTA,30/09/2020,OLIMPICO STADIUM,20:45,FABIO  MARESCA,ALESSANDRO  COSTANZO,SERGIO  RANGHETTI,FABRIZIO  PASQUA,GIANPAOLO  CALVARESE,RODOLFO DI VUOLO,1,4,A,SIMONE INZAGHI,GIAN PIERO GASPERINI,3-5-2,3-4-1-2,94'39,56'19,59%,35'17 (63%),21'28 (61%),13'49 (39%),21'02 (37%),13'16 (63%),7'46 (37%),6'28,6'25,4'16,5'35,4'27,8'06,3'22,2'59,4'08,3'34,3'13,3'46,13,11,8(1),6(4),0,0,0,0,7,6,1,0,3,2,2,4,2,3,8,6,1,2,0,0,9,9,7,3,16,11,526,317,83%,76%,88,64,253,164,279,156,21,24,3,2,37,48,0 (0),0 (0),109.459,26.675,73.767,9.017,107.733,28.684,70.067,8.982,6.9,6.8,18 (46%),12 (31%),9 (23%),10 (37%),7 (26%),10 (37%),911,269,482,160,686,230,354,102,7,43,41,11,19,72,56,20,45,75,93,25,41,68,80,55,15,26,48,22,8,12,22,7,5,34,29,13,22,52,52,23,37,46,62,42,36,41,54,36,7,24,22,18,3,13,10,5,FELIPE CAICEDO,20,ALEJANDRO GOMEZ,10,2.55,3.5,2.55
