Name,#,Year,Team,Matchday,Team 1,Team 2,M,GC,OG,S,STP,SF,FYC,SYC,RC
A.CORDAZ,1,2020-2021,CROTONE,1,GENOA,CROTONE,95',4,0,2,0,0,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,2,CROTONE,MILAN,97',2,0,4,0,0,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,3,SASSUOLO,CROTONE,97',4,0,0,0,0,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,4,CROTONE,JUVENTUS,97',1,0,1,0,0,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,5,CAGLIARI,CROTONE,95',4,0,4,1,0,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,6,CROTONE,ATALANTA,95',2,0,5,0,0,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,7,TORINO,CROTONE,96',0,0,1,0,0,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,8,CROTONE,LAZIO,94',2,0,7,1,0,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,9,BOLOGNA,CROTONE,97',1,0,6,2,0,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,10,CROTONE,NAPOLI,95',4,0,2,0,0,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,11,CROTONE,SPEZIA,97',1,0,4,0,0,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,12,UDINESE,CROTONE,94',0,0,6,0,0,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,13,SAMPDORIA,CROTONE,97',3,0,1,0,0,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,14,CROTONE,PARMA,98',1,0,6,0,1,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,15,INTER,CROTONE,91',6,0,3,0,0,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,16,CROTONE,ROMA,95',3,0,1,0,0,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,17,HELLAS VERONA,CROTONE,94',2,0,4,0,1,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,18,CROTONE,BENEVENTO,96',1,0,5,1,0,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,19,FIORENTINA,CROTONE,96',2,0,4,1,0,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,20,CROTONE,GENOA,95',3,0,2,0,0,0,0,0
A.CORDAZ,1,2020-2021,CROTONE,21,MILAN,CROTONE,90',4,0,6,0,0,0,0,0
